,meanX,meanY,medianX,medianY,stdX,stdY,quantiles25X,quantiles25Y,quantiles50X,quantiles50Y,quantiles75X,quantiles75Y,minX,minY,maxX,maxY,label
0,774.95950185139,469.70967929521623,646.750570708914,479.618910736762,393.2451844410246,219.7331581059377,464.989411517672,371.876688911565,646.750570708914,479.618910736762,1229.83018232944,660.569376840537,109.601603270466,31.2223934100207,1444.50358221055,850.230821706006,1
1,773.3700245686637,442.87873198913286,599.180272646721,445.624553092838,396.7886390995879,227.34593987406333,427.78250539187,300.620844457901,599.180272646721,445.624553092838,1209.54293688263,637.0091212325285,245.563387428915,-93.1914538685958,1478.49444586127,798.158869206324,1
2,774.1521270566878,443.2778126855075,616.741628608493,449.756948153309,397.79106056942385,210.486786710536,424.3507481597625,286.035691757431,616.741628608493,449.756948153309,1268.18705549104,626.03798738009,287.491641074189,5.81337605284761,1485.09202897714,807.130699374813,1
3,770.0478787087266,466.9658094140792,613.505485871673,470.740791827807,397.9455718357521,212.83178450198363,431.168342436484,372.645972013074,613.505485871673,470.740791827807,1228.30048421839,638.582068874248,110.810915100471,17.3552938563612,1495.56551250357,795.575229757383,1
4,766.8995167278885,441.1215899342233,599.140884763168,458.836541495727,399.50994813375905,228.9936345978704,478.912293185318,310.852742200201,599.140884763168,458.836541495727,1244.733703427315,636.215757938251,182.122229737272,-43.8004676636302,1494.33756402526,764.59043474425,1
5,754.2477715158365,452.5196115692745,605.569907506781,461.086210417355,398.6133423832711,219.76423020229436,409.979686714727,256.293472952313,605.569907506781,461.086210417355,1179.534345025995,638.665937811284,142.361881652114,-6.57339505691508,1553.50359158092,807.178247700034,1
6,781.8869390270271,459.25191079485705,623.892085808216,447.311292965985,389.2309629613631,219.3825305047922,461.937617982023,355.484079608895,623.892085808216,447.311292965985,1201.75111086476,660.404120571225,307.165804311008,37.6619504972013,1487.95294065841,799.105284949124,1
7,779.5382276571124,454.0811393535529,617.902475627702,447.173953236572,393.2919177571712,215.48599005828527,456.072529335197,328.127296095908,617.902475627702,447.173953236572,1211.33206361753,652.516079380978,293.737117447074,25.4840334208407,1485.69786551925,807.327978049366,1
8,789.7624942098216,457.55678085320915,622.754805700156,441.122202836694,391.42834163167635,198.87376947208784,495.779731715469,340.31720377051,622.754805700156,441.122202836694,1271.8939515721,651.574846320442,255.026001713263,95.4917700384225,1498.24795364433,846.301454831594,1
9,782.6889289064466,472.42197858635586,615.817011021463,439.402354982516,389.539250000115,208.81460546930384,481.771304463297,343.671408073679,615.817011021463,439.402354982516,1247.20780844234,681.279638015749,126.22680450557,70.5351874907238,1471.26640089631,803.691225318248,1
10,789.647821480776,482.1956403263705,627.086153905451,470.524323766184,395.36920282748457,197.47986791218452,456.040942752024,372.8155686095335,627.086153905451,470.524323766184,1220.79398830347,673.517481434204,130.26574890963,112.638956091308,1503.92715449365,796.136629325599,1
11,763.8499158047556,464.45761756706463,603.45661645406,445.123652512631,391.0674470802448,208.17358584558136,425.5871820960885,366.819370754173,603.45661645406,445.123652512631,1124.0652140128,670.676520027533,148.351103791761,28.657470579037,1508.46093340519,769.347885274607,1
12,782.9566405034293,473.8621957986625,617.253813175772,451.32922452905,397.7564096922403,189.074069205217,457.21193444117455,383.95235240235473,617.253813175772,451.32922452905,1178.88507192015,649.5430631434975,137.180210940125,82.2755583185667,1507.8388196813,796.00011959636,1
13,797.3467396720055,453.15908986675583,658.3342547630859,417.352678142969,391.9351154120974,203.51329270361904,510.915652416991,337.02897049697475,658.3342547630859,417.352678142969,1228.4547496702698,626.331270143115,268.232182768563,-75.654651736415,1520.90297559157,827.89800597743,1
14,780.758691743247,462.9667705762007,599.878711715658,439.91299854148,393.3841224670558,199.86174062227488,486.006880931116,360.112654190018,599.878711715658,439.91299854148,1223.42951229691,669.728815659511,167.072285119775,83.1865360950895,1491.00473910666,763.409115827473,1
15,789.0689911247057,475.90838453279673,641.323726358936,440.614660265751,386.4295597527276,196.45992659765687,542.586129875286,383.086904872176,641.323726358936,440.614660265751,1228.01931406519,652.9976025954052,165.825593141503,106.716062053881,1497.37193336856,818.514541781966,1
16,799.9063295281959,481.3716814394973,624.320501309102,463.471767764995,385.5661458820325,189.65559831174522,510.23918399054776,380.14120376812326,624.320501309102,463.471767764995,1263.2782272705626,656.10632854016,191.807375583091,124.957061041313,1490.16449592202,816.038132232374,1
17,917.6787249637364,468.0619607826627,836.3469875271495,455.89909960020805,219.1200264658759,120.715964704107,693.5476322420191,373.88128575447627,836.3469875271495,455.89909960020805,1105.4466437163098,561.09807505358,652.79491347961,258.711225786191,1320.67723707362,686.37877861615,1
18,800.4160201846041,459.71434574368624,728.090262531791,425.567095444294,376.0954640708906,197.6625768074186,527.715804589399,350.9473437698065,728.090262531791,425.567095444294,1186.598205083445,645.195027648865,305.180600397374,49.6189001118332,1517.29035074583,807.927678205477,1
19,781.0379603197235,488.82609631230406,632.430669599794,452.903506001411,383.92936933325086,214.43594332990568,426.0166264202095,312.248321617343,632.430669599794,452.903506001411,1147.04654235099,702.8912992739124,282.612093417348,120.670447345961,1611.72588566539,1141.03083279904,1
20,795.7417077889804,480.13047275926857,634.585154636693,433.220853476786,379.70357861976123,211.41093742427663,467.849568291178,306.283354365335,634.585154636693,433.220853476786,1147.74147665679,690.850935599308,271.144074582085,107.279859495676,1463.39886380934,973.015140804747,1
21,772.2779649648005,487.2241108785432,606.769159462903,433.053769956404,383.49547124837346,210.58779297704814,427.561935352287,359.82063388866,606.769159462903,433.053769956404,1240.90767728158,704.505583647834,94.4257110184281,96.5851048766074,1535.58950434078,863.340255494447,1
22,787.9035507285704,467.78181840323816,679.4918423257654,419.0675868247565,380.9413200873911,215.34438691685463,532.141609612909,366.917458999265,679.4918423257654,419.0675868247565,1235.2687951564951,671.193184301547,265.836388111563,5.13662907180548,1475.93253141194,798.347381405476,1
23,762.8339599926035,483.29730054997066,617.051741038053,437.6942771634285,376.75242676431964,226.57597898159804,443.055371934115,315.52762427462676,617.051741038053,437.6942771634285,1130.2329263057,704.974530404556,189.394491987047,126.144379913878,1467.14440570877,1234.69250717514,1
